भारत के संविधान को बनाने में किसका मुख्य योगदान था?,महात्मा गांधी,जवाहरलाल नेहरू,भीमराव अंबेडकर,राजेंद्र प्रसाद,c
'जाति का उन्मूलन' पुस्तक किसके द्वारा लिखी गई?,सुभाष चंद्र बोस,भीमराव अंबेडकर,ज्योतिबा फुले,महात्मा गांधी,b
बौद्ध धर्म में दीक्षित होने का निर्णय अंबेडकर ने कब लिया?,1955,1956,1957,1958,b
कौन से आंदोलन के कारण अंबेडकर सुर्खियों में आए?,नमक सत्याग्रह,महाड़ सत्याग्रह,भारत छोड़ो आंदोलन,सविनय अवज्ञा आंदोलन,b
संविधान सभा में किसने महत्वपूर्ण भूमिका निभाई?,भगत सिंह,लाला लाजपत राय,भीमराव अंबेडकर,सरदार पटेल,c
भीमराव अंबेडकर ने 'मूकनायक' पत्रिका का प्रकाशन क्यों किया?,राजनीतिक जागरूकता के लिए,धार्मिक सुधार के लिए,दलित अधिकारों के लिए,शिक्षा सुधार के लिए,c
अस्पृश्यता के खिलाफ संघर्ष में किसका नाम जुड़ा हुआ है?,महात्मा गांधी,भीमराव अंबेडकर,राजेंद्र प्रसाद,जवाहरलाल नेहरू,b
किस वर्ष में भीमराव अंबेडकर ने 'पूना पैक्ट' पर हस्ताक्षर किए?,1930,1931,1932,1933,c
संविधान निर्माण के दौरान अंबेडकर किस समिति के अध्यक्ष थे?,वित्त समिति,संविधान प्रारूप समिति,राजनीतिक समिति,शिक्षा समिति,b
भारत के पहले कानून मंत्री कौन थे?,जवाहरलाल नेहरू,महात्मा गांधी,भीमराव अंबेडकर,राजेंद्र प्रसाद,c
किस कारण से अंबेडकर ने बौद्ध धर्म अपनाया?,आध्यात्मिक शांति के लिए,जाति प्रथा का विरोध करने के लिए,राजनीतिक लाभ के लिए,शिक्षा के लिए,b
किसके साथ 'पूना पैक्ट' हुआ था?,महात्मा गांधी,सरदार पटेल,जवाहरलाल नेहरू,राजेंद्र प्रसाद,a
अंबेडकर का सबसे बड़ा सामाजिक सुधार किस विषय पर आधारित था?,आर्थिक सुधार,शिक्षा,जाति उन्मूलन,धार्मिक स्वतंत्रता,c
भीमराव अंबेडकर का जन्म किस राज्य में हुआ था?,महाराष्ट्र,उत्तर प्रदेश,बिहार,मध्य प्रदेश,a
अंबेडकर की सबसे प्रसिद्ध रचना कौन सी है?,भारतीय संविधान,जाति का उन्मूलन,भारत छोड़ो आंदोलन,बुद्ध और उनका धम्म,b
अंबेडकर की शिक्षा किस देश में हुई?,इंग्लैंड,अमेरिका,जर्मनी,फ्रांस,b
भारत के संविधान निर्माण में सबसे प्रमुख भूमिका किसकी थी?,महात्मा गांधी,राजेंद्र प्रसाद,भीमराव अंबेडकfर,लाला लाजपत राय,c
भीमराव अंबेडकर के गुरु कौन थे?,महात्मा गांधी,स्वामी विवेकानंद,ज्योतिबा फुले,भगत सिंह,c
अंबेडकर ने संविधान में सबसे महत्वपूर्ण कौन सा अधिकार बताया?,शिक्षा का अधिकार,राजनीतिक अधिकार,समानता का अधिकार,धार्मिक स्वतंत्रता,c
महाड़ सत्याग्रह किस मुद्दे से संबंधित था?,पानी के अधिकार,धार्मिक स्वतंत्रता,शिक्षा,आर्थिक असमानता,a
भारतीय संविधान निर्माण में किसका प्रमुख योगदान रहा?,महात्मा गांधी,भीमराव अंबेडकर,जवाहरलाल नेहरू,राजेंद्र प्रसाद,b
‘जाति का उन्मूलन’ पुस्तक किसने लिखी?,सुभाष चंद्र बोस,भीमराव अंबेडकर,ज्योतिबा फुले,महात्मा गांधी,b
बौद्ध धर्म में दीक्षित होने का निर्णय कब लिया गया?,1955,1956,1957,1958,b
कौन से आंदोलन के कारण वे सुर्खियों में आए?,नमक सत्याग्रह,महाड़ सत्याग्रह,भारत छोड़ो आंदोलन,सविनय अवज्ञा आंदोलन,b
संविधान सभा में किसकी भूमिका सबसे महत्वपूर्ण थी?,भगत सिंह,लाला लाजपत राय,भीमराव अंबेडकर,सरदार पटेल,c
‘मूकनायक’ पत्रिका का प्रकाशन क्यों किया गया?,राजनीतिक जागरूकता के लिए,धार्मिक सुधार के लिए,दलित अधिकारों के लिए,शिक्षा सुधार के लिए,c
किसके संघर्ष ने अस्पृश्यता के खिलाफ लड़ाई को बढ़ावा दिया?,महात्मा गांधी,भीमराव अंबेडकर,राजेंद्र प्रसाद,जवाहरलाल नेहरू,b
पूना पैक्ट पर हस्ताक्षर किस वर्ष हुए थे?,1930,1931,1932,1933,c
संविधान प्रारूप समिति की अध्यक्षता किसने की?,वित्त समिति,संविधान प्रारूप समिति,राजनीतिक समिति,शिक्षा समिति,b
भारत के पहले कानून मंत्री कौन बने?,जवाहरलाल नेहरू,महात्मा गांधी,भीमराव अंबेडकर,राजेंद्र प्रसाद,c
बौद्ध धर्म अपनाने का प्रमुख कारण क्या था?,आध्यात्मिक शांति के लिए,जाति प्रथा का विरोध करने के लिए,राजनीतिक लाभ के लिए,शिक्षा के लिए,b
किसके साथ पूना समझौता हुआ?,महात्मा गांधी,सरदार पटेल,जवाहरलाल नेहरू,राजेंद्र प्रसाद,a
उनका सबसे बड़ा सामाजिक सुधार किस विषय पर आधारित था?,आर्थिक सुधार,शिक्षा,जाति उन्मूलन,धार्मिक स्वतंत्रता,c
उनकी जन्मभूमि कौन सा राज्य है?,महाराष्ट्र,उत्तर प्रदेश,बिहार,मध्य प्रदेश,a
उनकी प्रसिद्ध रचना कौन सी है?,भारतीय संविधान,जाति का उन्मूलन,भारत छोड़ो आंदोलन,बुद्ध और उनका धम्म,b
उनकी उच्च शिक्षा किस देश में हुई?,इंग्लैंड,अमेरिका,जर्मनी,फ्रांस,b
संविधान निर्माण में किसकी सबसे प्रमुख भूमिका रही?,महात्मा गांधी,राजेंद्र प्रसाद,भीमराव अंबेडकर,लाला लाजपत राय,c
किस विचारक को उनका गुरु माना जाता है?,महात्मा गांधी,स्वामी विवेकानंद,ज्योतिबा फुले,भगत सिंह,c
संविधान में किस अधिकार को उन्होंने सबसे महत्वपूर्ण माना?,शिक्षा का अधिकार,राजनीतिक अधिकार,समानता का अधिकार,धार्मिक स्वतंत्रता,c
महाड़ सत्याग्रह किस मुद्दे से संबंधित था?,पानी के अधिकार,धार्मिक स्वतंत्रता,शिक्षा,आर्थिक असमानता,a
अंबेडकर द्वारा लिखी गई कौन सी पुस्तक जाति प्रथा पर आधारित है?,बुद्ध और उनका धम्म,जाति का उन्मूलन,भारत का संविधान,मूकनायक,b
महाड़ सत्याग्रह किस अधिकार से संबंधित था?,शिक्षा का अधिकार,जल अधिकार,जातीय समानता,धार्मिक स्वतंत्रता,b
भीमराव अंबेडकर ने संविधान सभा में किस विषय पर जोर दिया?,जाति उन्मूलन,धार्मिक स्वतंत्रता,समानता,शिक्षा,c
भारत के संविधान में अंबेडकर ने किस अधिकार को सबसे प्रमुख माना?,समानता का अधिकार,धार्मिक स्वतंत्रता,शिक्षा का अधिकार,राजनीतिक अधिकार,a
अंबेडकर ने किस साल संविधान सभा में प्रवेश किया?,1945,1946,1947,1948,b
'मूकनायक' पत्रिका का उद्देश्य क्या था?,शिक्षा सुधार,धार्मिक प्रचार,राजनीतिक जागरूकता,दलित अधिकारों का प्रचार,d
अंबेडकर का जन्म किस राज्य में हुआ था?,महाराष्ट्र,मध्य प्रदेश,उत्तर प्रदेश,बिहार,a
पूना पैक्ट पर हस्ताक्षर किसके बीच हुए थे?,गांधी और नेहरू,अंबेडकर और गांधी,अंबेडकर और पटेल,अंबेडकर और नेहरू,b
‘बुद्ध और उनका धम्म’ पुस्तक में अंबेडकर ने किस पर ध्यान केंद्रित किया?,धार्मिक स्वतंत्रता,बौद्ध धर्म का महत्व,आर्थिक सुधार,सामाजिक सुधार,b
अंबेडकर ने किस संघर्ष में हिस्सा लिया था?,सविनय अवज्ञा आंदोलन,नमक सत्याग्रह,महाड़ सत्याग्रह,भारत छोड़ो आंदोलन,c
किस वर्ष अंबेडकर ने बौद्ध धर्म अपनाया?,1955,1956,1957,1958,b
अंबेडकर की शिक्षा कहाँ से पूरी हुई?,ऑक्सफोर्ड,कैम्ब्रिज,कोलंबिया,हार्वर्ड,c
अंबेडकर ने किस मुद्दे पर पूना समझौते के तहत महात्मा गांधी से समझौता किया?,दलित अधिकार,जल अधिकार,धार्मिक स्वतंत्रता,आर्थिक समानता,a
